,filename,width,height,class,xmin,ymin,xmax,ymax
0,armas (2038).jpg,450,355,pistol,3,1,449,354
1,armas (945).jpg,269,188,pistol,27,8,135,134
2,armas (2192).jpg,160,120,pistol,2,1,156,116
3,armas (1614).jpg,500,263,pistol,153,106,175,124
4,armas (416).jpg,801,1024,pistol,271,404,426,465
5,armas (1244).jpg,500,247,pistol,20,20,478,222
6,armas (1751).jpg,600,443,pistol,61,114,309,262
7,armas (103).jpg,450,300,pistol,111,83,199,129
8,armas (1301).jpg,500,375,pistol,50,57,478,317
9,armas (2487).jpg,160,120,pistol,2,3,157,116
10,armas (2).jpg,259,194,pistol,21,78,146,163
11,armas (2).jpg,259,194,pistol,84,31,221,111
12,armas (800).jpg,300,191,pistol,1,18,294,145
13,armas (1028).jpg,276,183,pistol,122,55,168,91
14,armas (1182).jpg,705,705,pistol,500,213,536,233
15,armas (380).jpg,299,450,pistol,80,73,133,186
16,armas (2604).jpg,160,120,pistol,4,2,154,118
17,armas (1881).jpg,1250,938,pistol,285,34,1097,701
18,armas (2741).jpg,160,120,pistol,8,7,156,111
19,armas (441).jpg,1023,682,pistol,428,77,844,373
20,armas (1643).jpg,500,375,pistol,96,69,446,332
21,armas (912).jpg,275,183,pistol,43,16,236,140
22,armas (2595).jpg,160,120,pistol,4,1,156,120
23,armas (2080).jpg,1123,761,pistol,542,328,830,531
24,armas (2080).jpg,1123,761,pistol,324,297,456,629
25,armas (1356).jpg,500,326,pistol,1,1,499,320
26,armas (154).jpg,450,300,pistol,28,43,434,258
27,armas (2983).jpg,461,357,pistol,17,33,445,339
28,armas (1706).jpg,500,332,pistol,40,160,136,235
29,armas (2829).jpg,1055,1390,pistol,515,243,560,320
30,armas (504).jpg,200,150,pistol,47,3,147,150
31,armas (2653).jpg,160,120,pistol,2,5,155,115
32,armas (63).jpg,1300,940,pistol,700,294,919,623
33,armas (787).jpg,300,203,pistol,8,11,283,173
34,armas (1585).jpg,500,333,pistol,60,166,100,227
35,armas (1585).jpg,500,333,pistol,166,164,192,231
36,armas (1090).jpg,3072,2166,pistol,531,448,1101,693
37,armas (338).jpg,299,470,pistol,68,233,93,282
38,armas (1993).jpg,625,424,pistol,250,176,325,302
39,armas (2346).jpg,160,120,pistol,2,2,158,114
40,armas (1839).jpg,400,500,pistol,152,40,384,420
41,armas (2079).jpg,3000,2290,pistol,1030,270,2612,1148
42,armas (2583).jpg,160,120,pistol,1,1,156,115
43,armas (2429).jpg,160,120,pistol,2,1,157,119
44,armas (904).jpg,240,180,pistol,106,40,131,57
45,armas (1655).jpg,500,500,pistol,209,153,312,409
46,armas (457).jpg,1024,678,pistol,813,179,983,344
47,armas (1205).jpg,500,399,pistol,49,101,226,155
48,armas (1205).jpg,500,399,pistol,236,66,369,141
49,armas (1205).jpg,500,399,pistol,424,19,500,92
50,armas (1205).jpg,500,399,pistol,76,227,197,390
51,armas (1205).jpg,500,399,pistol,344,195,486,343
52,armas (512).jpg,192,203,pistol,64,26,83,44
53,armas (1710).jpg,500,375,pistol,34,45,478,360
54,armas (1340).jpg,800,717,pistol,22,20,403,490
55,armas (1340).jpg,800,717,pistol,445,24,777,516
56,armas (2096).jpg,2000,1333,pistol,998,254,1901,870
57,armas (1069).jpg,2634,2340,pistol,1029,132,2517,2078
58,armas (1069).jpg,2634,2340,pistol,179,545,1521,2211
59,armas (791).jpg,300,192,pistol,5,45,290,182
60,armas (1439).jpg,500,285,pistol,156,17,238,67
61,armas (1439).jpg,500,285,pistol,301,12,367,62
62,armas (2215).jpg,160,120,pistol,3,4,159,115
63,armas (2700).jpg,160,120,pistol,2,1,157,116
64,armas (2350).jpg,160,120,pistol,1,1,159,115
65,armas (1985).jpg,1067,600,pistol,577,174,611,192
66,armas (284).jpg,1200,973,pistol,1,15,1162,940
67,armas (1086).jpg,271,194,pistol,224,61,257,81
68,armas (1086).jpg,271,194,pistol,6,106,44,132
69,armas (2887).jpg,866,1300,pistol,428,355,511,511
70,armas (1252).jpg,500,375,pistol,20,16,488,359
71,armas (1252).jpg,500,375,pistol,232,179,334,261
72,armas (400).jpg,682,1023,pistol,319,333,621,817
73,armas (1602).jpg,375,500,pistol,53,48,231,456
74,armas (953).jpg,262,192,pistol,177,54,254,136
75,armas (816).jpg,300,159,pistol,4,9,292,154
76,armas (2491).jpg,160,120,pistol,3,1,158,117
77,armas (115).jpg,680,1024,pistol,169,393,224,529
78,armas (2868).jpg,400,400,pistol,288,121,396,223
79,armas (1897).jpg,650,455,pistol,33,10,600,422
80,armas (2612).jpg,160,120,pistol,10,4,156,113
81,armas (396).jpg,1023,805,pistol,148,181,474,423
82,armas (1194).jpg,500,395,pistol,291,102,390,170
83,armas (683).jpg,1005,759,pistol,26,51,982,720
84,armas (2307).jpg,160,120,pistol,4,1,153,119
85,armas (2757).jpg,160,120,pistol,2,1,157,117
86,armas (1878).jpg,800,600,pistol,572,191,727,293
87,armas (2540).jpg,160,120,pistol,3,3,156,116
88,armas (2110).jpg,320,240,pistol,13,22,313,218
89,armas (494).jpg,259,194,pistol,134,74,196,137
90,armas (1696).jpg,500,375,pistol,20,89,284,260
91,armas (1229).jpg,99,93,pistol,40,38,76,88
92,armas (1383).jpg,500,375,pistol,60,92,500,375
93,armas (181).jpg,780,438,pistol,87,169,273,427
94,armas (181).jpg,780,438,pistol,1,265,90,434
95,armas (181).jpg,780,438,pistol,301,144,484,422
96,armas (181).jpg,780,438,pistol,441,208,596,420
97,armas (181).jpg,780,438,pistol,643,229,780,403
98,armas (181).jpg,780,438,pistol,219,41,353,214
99,armas (181).jpg,780,438,pistol,500,44,648,193
100,armas (181).jpg,780,438,pistol,387,1,538,140
101,armas (181).jpg,780,438,pistol,129,1,275,107
102,armas (181).jpg,780,438,pistol,300,1,386,71
103,armas (181).jpg,780,438,pistol,662,1,762,88
104,armas (2405).jpg,160,120,pistol,4,3,158,112
105,armas (2055).jpg,725,432,pistol,7,8,719,425
106,armas (882).jpg,300,168,pistol,114,42,149,101
107,armas (752).jpg,661,496,pistol,333,345,411,406
108,armas (1550).jpg,500,432,pistol,1,75,246,276
109,armas (1100).jpg,600,426,pistol,12,8,588,394
110,armas (2686).jpg,160,120,pistol,4,6,152,114
111,armas (1803).jpg,1300,956,pistol,401,169,495,278
112,armas (2239).jpg,160,120,pistol,2,1,157,112
113,armas (2669).jpg,160,120,pistol,1,2,158,115
114,armas (1946).jpg,1500,1098,pistol,552,310,632,409
115,armas (2393).jpg,160,120,pistol,3,3,156,115
116,armas (59).jpg,256,192,pistol,26,22,241,171
117,armas (617).jpg,1300,951,pistol,287,76,424,336
118,armas (1045).jpg,276,183,pistol,70,27,209,127
119,armas (1291).jpg,500,375,pistol,102,175,118,188
120,armas (2844).jpg,660,505,pistol,9,17,649,501
121,armas (139).jpg,1500,1277,pistol,182,297,280,453
122,armas (990).jpg,240,181,pistol,3,21,23,39
123,armas (990).jpg,240,181,pistol,158,17,175,32
124,armas (2517).jpg,160,120,pistol,1,1,155,116
125,armas (2002).jpg,450,319,pistol,45,98,135,119
126,armas (2452).jpg,160,120,pistol,8,5,155,116
127,armas (2901).jpg,863,1300,pistol,6,315,186,655
128,armas (586).jpg,640,480,pistol,10,99,620,394
129,armas (1854).jpg,600,420,pistol,166,148,242,260
130,armas (1157).jpg,2000,1000,pistol,553,103,1078,1000
131,armas (355).jpg,400,260,pistol,1,1,394,252
132,armas (1507).jpg,500,375,pistol,13,20,486,246
133,armas (210).jpg,728,546,pistol,418,195,728,485
134,armas (1012).jpg,183,275,pistol,20,17,160,247
135,armas (640).jpg,758,425,pistol,60,21,624,403
136,armas (1442).jpg,500,334,pistol,65,23,484,203
137,armas (1911).jpg,300,225,pistol,150,23,161,41
138,armas (2794).jpg,600,423,pistol,201,51,389,421
139,armas (2501).jpg,160,120,pistol,1,2,156,115
140,armas (986).jpg,259,194,pistol,61,39,189,194
141,armas (2151).jpg,480,360,pistol,139,105,195,134
142,armas (2852).jpg,808,606,pistol,290,101,787,386
143,armas (2852).jpg,808,606,pistol,44,213,490,489
144,armas (1287).jpg,320,209,pistol,123,9,170,117
145,armas (1792).jpg,1400,1050,pistol,80,121,1315,1001
146,armas (590).jpg,1300,1008,pistol,475,71,1152,916
147,armas (1268).jpg,500,339,pistol,91,27,202,289
148,armas (1268).jpg,500,339,pistol,308,120,386,257
149,armas (1638).jpg,500,375,pistol,57,11,475,301
150,armas (969).jpg,183,275,pistol,13,38,47,98
151,armas (2444).jpg,160,120,pistol,1,8,159,78
152,armas (2014).jpg,2032,1048,pistol,1439,234,1953,656
153,armas (713).jpg,640,375,pistol,222,22,614,323
154,armas (1511).jpg,500,353,pistol,3,17,422,189
155,armas (1141).jpg,2000,1325,pistol,487,512,696,718
156,armas (2297).jpg,160,120,pistol,6,1,154,115
157,armas (1842).jpg,380,380,pistol,116,8,260,352
158,armas (2278).jpg,160,120,pistol,6,3,157,116
159,armas (1907).jpg,866,1390,pistol,161,631,559,1056
160,armas (2628).jpg,160,120,pistol,5,6,146,114
161,armas (18).jpg,288,450,pistol,134,163,164,244
162,armas (1454).jpg,500,340,pistol,248,103,280,139
163,armas (656).jpg,700,480,pistol,148,82,442,305
164,armas (1004).jpg,183,275,pistol,12,69,119,140
165,armas (206).jpg,728,546,pistol,77,63,628,442
166,armas (528).jpg,259,194,pistol,15,8,240,131
167,armas (2106).jpg,400,300,pistol,2,4,394,294
168,armas (2556).jpg,160,120,pistol,4,1,158,119
169,armas (2413).jpg,160,120,pistol,3,3,157,119
170,armas (197).jpg,560,292,pistol,175,77,382,210
171,armas (2940).jpg,450,300,pistol,86,121,220,218
172,armas (1815).jpg,392,500,pistol,159,385,250,481
173,armas (314).jpg,134,178,pistol,70,25,111,94
174,armas (1546).jpg,500,333,pistol,85,9,432,333
175,armas (251).jpg,634,458,pistol,377,161,486,245
176,armas (1053).jpg,500,381,pistol,84,25,470,360
177,armas (1950).jpg,1500,1100,pistol,555,275,734,371
178,armas (1927).jpg,780,456,pistol,237,8,519,208
179,armas (2608).jpg,160,120,pistol,1,1,157,107
180,armas (38).jpg,168,124,pistol,9,25,69,103
181,armas (38).jpg,168,124,pistol,95,27,160,101
182,armas (676).jpg,1500,1125,pistol,246,280,1273,900
183,armas (1024).jpg,275,183,pistol,162,38,189,72
184,armas (226).jpg,1300,1065,pistol,629,576,731,722
185,armas (733).jpg,309,400,pistol,167,102,304,211
186,armas (363).jpg,1000,678,pistol,36,40,978,663
187,armas (1161).jpg,2000,1000,pistol,528,268,1218,625
188,armas (699).jpg,1000,771,pistol,71,206,259,339
189,armas (1862).jpg,1300,706,pistol,549,215,830,409
190,armas (2937).jpg,113,168,pistol,72,41,110,122
191,armas (949).jpg,275,183,pistol,68,9,230,90
192,armas (2464).jpg,160,120,pistol,3,3,157,116
193,armas (2034).jpg,425,323,pistol,25,121,88,153
194,armas (2034).jpg,425,323,pistol,47,91,98,120
195,armas (2034).jpg,425,323,pistol,72,77,116,114
196,armas (2521).jpg,160,120,pistol,2,1,156,115
197,armas (2872).jpg,400,245,pistol,11,15,372,217
198,armas (271).jpg,1280,720,pistol,113,175,1199,600
199,armas (1589).jpg,500,364,pistol,36,51,454,247
200,armas (1073).jpg,661,496,pistol,386,52,594,248
201,armas (621).jpg,661,496,pistol,136,11,550,479
202,armas (1423).jpg,500,333,pistol,47,38,455,307
203,armas (1970).jpg,615,409,pistol,184,224,202,272
204,armas (1835).jpg,660,401,pistol,191,140,344,258
205,armas (334).jpg,450,320,pistol,27,10,439,294
206,armas (1566).jpg,500,351,pistol,238,134,348,243
207,armas (2063).jpg,640,360,pistol,140,143,202,197
208,armas (2063).jpg,640,360,pistol,322,150,362,189
209,armas (2599).jpg,160,120,pistol,2,13,157,88
210,armas (2433).jpg,160,120,pistol,3,1,158,117
211,armas (2960).jpg,300,202,pistol,15,24,286,147
212,armas (508).jpg,286,176,pistol,144,13,282,133
213,armas (2825).jpg,259,194,pistol,6,15,244,175
214,armas (158).jpg,300,450,pistol,34,316,64,368
215,armas (2126).jpg,634,633,pistol,292,285,553,492
216,armas (2576).jpg,160,120,pistol,2,1,158,114
217,armas (2649).jpg,160,120,pistol,3,1,156,119
218,armas (1966).jpg,1300,956,pistol,133,327,543,651
219,armas (1435).jpg,375,500,pistol,46,74,373,250
220,armas (637).jpg,267,400,pistol,81,53,152,203
221,armas (1065).jpg,600,483,pistol,57,127,173,330
222,armas (267).jpg,640,345,pistol,11,14,621,326
223,armas (1570).jpg,407,500,pistol,21,13,406,476
224,armas (322).jpg,270,194,pistol,2,16,91,156
225,armas (1120).jpg,866,1390,pistol,109,495,326,622
226,armas (1989).jpg,620,412,pistol,302,95,607,316
227,armas (96).jpg,459,344,pistol,22,37,420,290
228,armas (1823).jpg,1024,1024,pistol,1,216,845,577
229,armas (1209).jpg,370,336,pistol,93,13,362,227
230,armas (2976).jpg,725,725,pistol,36,152,661,566
231,armas (1659).jpg,450,500,pistol,251,74,332,193
232,armas (908).jpg,211,239,pistol,56,88,77,134
233,armas (2425).jpg,160,120,pistol,4,3,153,119
234,armas (2560).jpg,160,120,pistol,3,2,156,115
235,armas (2130).jpg,736,552,pistol,27,67,719,486
236,armas (2999).jpg,700,407,pistol,1,15,683,399
237,armas (2833).jpg,958,1114,pistol,258,253,669,887
238,armas (230).jpg,1067,854,pistol,640,216,747,291
239,armas (1032).jpg,168,300,pistol,108,115,168,160
240,armas (1462).jpg,500,375,pistol,223,100,271,165
241,armas (1931).jpg,1500,1100,pistol,762,311,1234,863
242,armas (1177).jpg,1000,630,pistol,376,46,970,476
243,armas (1527).jpg,500,400,pistol,97,123,410,278
244,armas (725).jpg,420,241,pistol,29,9,372,126
245,armas (2022).jpg,940,705,pistol,515,171,628,221
246,armas (2472).jpg,160,120,pistol,7,9,157,113
247,armas (549).jpg,275,183,pistol,100,70,141,94
248,armas (2864).jpg,999,729,pistol,289,212,462,339
249,armas (119).jpg,1300,919,pistol,104,395,1150,726
250,armas (2537).jpg,160,120,pistol,2,1,155,110
251,armas (2720).jpg,160,120,pistol,1,2,154,112
252,armas (2370).jpg,160,120,pistol,2,1,154,108
253,armas (1049).jpg,259,194,pistol,10,14,215,121
254,armas (1419).jpg,500,469,pistol,170,59,348,461
255,armas (55).jpg,600,391,pistol,315,139,370,224
256,armas (2665).jpg,160,120,pistol,4,2,157,116
257,armas (2235).jpg,160,120,pistol,4,2,157,113
258,armas (1730).jpg,500,333,pistol,134,88,446,281
259,armas (162).jpg,300,450,pistol,58,5,87,52
260,armas (498).jpg,261,193,pistol,107,32,261,193
261,armas (861).jpg,259,194,pistol,151,71,223,156
262,armas (2059).jpg,418,246,pistol,78,16,386,201
263,armas (2409).jpg,160,120,pistol,2,1,157,120
264,armas (924).jpg,199,254,pistol,110,81,144,117
265,armas (477).jpg,1023,683,pistol,121,1,1021,439
266,armas (1225).jpg,500,375,pistol,167,232,266,289
267,armas (1225).jpg,500,375,pistol,245,269,366,324
268,armas (709).jpg,300,182,pistol,1,1,222,163
269,armas (359).jpg,581,329,pistol,77,60,444,228
270,armas (2777).jpg,160,120,pistol,1,1,157,117
271,armas (1858).jpg,906,706,pistol,332,188,401,289
272,armas (2798).jpg,700,572,pistol,469,124,625,366
273,armas (2632).jpg,160,120,pistol,3,5,142,112
274,armas (836).jpg,620,350,pistol,23,66,559,345
275,armas (1337).jpg,1024,683,pistol,179,134,867,543
276,armas (135).jpg,450,322,pistol,222,139,271,194
277,armas (2848).jpg,590,420,pistol,16,161,268,311
278,armas (2848).jpg,590,420,pistol,421,138,589,396
279,armas (2848).jpg,590,420,pistol,30,51,328,126
280,armas (2848).jpg,590,420,pistol,1,20,267,79
281,armas (565).jpg,800,450,pistol,98,62,753,399
282,armas (1788).jpg,325,426,pistol,92,220,193,301
283,armas (1272).jpg,500,333,pistol,244,133,286,154
284,armas (420).jpg,1024,678,pistol,433,210,648,371
285,armas (973).jpg,275,183,pistol,122,54,242,175
286,armas (2761).jpg,160,120,pistol,1,1,158,118
287,armas (2331).jpg,160,120,pistol,1,1,157,116
288,armas (1008).jpg,259,195,pistol,19,26,67,83
289,armas (1458).jpg,500,336,pistol,31,89,463,259
290,armas (2624).jpg,160,120,pistol,7,1,151,113
291,armas (2274).jpg,160,120,pistol,1,1,158,120
292,armas (573).jpg,286,176,pistol,148,11,282,128
293,armas (1321).jpg,1000,944,pistol,88,55,946,891
294,armas (820).jpg,300,157,pistol,3,13,297,139
295,armas (2018).jpg,350,350,pistol,185,80,346,317
296,armas (2448).jpg,160,120,pistol,2,5,156,113
297,armas (436).jpg,720,1024,pistol,520,505,682,629
298,armas (1264).jpg,500,334,pistol,121,27,466,233
299,armas (748).jpg,992,744,pistol,82,160,763,625
300,armas (318).jpg,134,178,pistol,86,34,104,83
301,armas (2366).jpg,160,120,pistol,5,3,155,72
302,armas (1819).jpg,309,203,pistol,74,60,255,174
303,armas (2736).jpg,160,120,pistol,4,3,154,114
304,armas (2223).jpg,160,120,pistol,2,1,158,116
305,armas (2673).jpg,160,120,pistol,3,1,158,115
306,armas (2389).jpg,160,120,pistol,1,2,155,118
307,armas (43).jpg,156,235,pistol,1,60,84,217
308,armas (1376).jpg,335,500,pistol,17,111,335,443
309,armas (174).jpg,640,360,pistol,212,99,255,143
310,armas (1726).jpg,500,333,pistol,76,22,419,303
311,armas (1726).jpg,500,333,pistol,54,202,425,290
